,Unnamed: 0,Title,Date,Category,Link
602,602,Ohio Based Nonprofit And Affiliated Nursing Homes Agree To Pay $3.61 Million To Resolve False Claims Act Liability,2025-06-03,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/ohio-based-nonprofit-and-affiliated-nursing-homes-agree-to-pay-361m-to-resolve-false-claims-act-liability/
603,603,"Residential Treatment Provider Agrees to Pay $346,369 to Settle False Claims Act Allegations",2025-06-02,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/residential-treatment-provider-agrees-to-pay-346369-to-settle-false-claims-act-allegations/
607,607,Former CEO Of Silver State Health Services And Real Estate Investor Indicted For Embezzling Over $2 Million Dollars In Federal Grant Money,2025-05-30,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/former-ceo-of-silver-state-health-services-and-real-estate-investor-indicted-for-embezzling-over-2-million-dollars-in-federal-grant-money/
608,608,Florida Man Sentenced To 42 Months For Multimillion-Dollar Medicare Fraud Scheme,2025-05-30,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/florida-man-sentenced-to-42-months-for-multimillion-dollar-medicare-fraud-scheme/
612,612,"Sovereign Health Group Founder and Ex-CEO Arrested on Indictment Alleging Long-Running, Massive Fraud Against Health Insurers",2025-05-29,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/sovereign-health-group-founder-and-ex-ceo-arrested-on-indictment-alleging-long-running-massive-fraud-against-health-insurers/
613,613,Missouri Man Pleads Guilty to Multimillion-Dollar Medicare Fraud Conspiracy,2025-05-29,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/missouri-man-pleads-guilty-to-multimillion-dollar-medicare-fraud-conspiracy/
618,618,Illinois Woman Sentenced for Prescription Drug Diversion,2025-05-28,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/illinois-woman-sentenced-for-prescription-drug-diversion/
624,624,Slidell Doctor Convicted Of Health Care Fraud,2025-05-27,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/slidell-doctor-convicted-of-health-care-fraud/
625,625,Chula Vista Man Pleads Guilty in $51 Million Medicare Fraud Scheme,2025-05-27,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/chula-vista-man-pleads-guilty-in-51-million-medicare-fraud-scheme/
626,626,Medical Equipment Business Owner Sentenced to Federal Prison and Ordered to Pay Over $6 Million in Restitution for a Conspiracy to Commit Health Care Fraud,2025-05-27,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/medical-equipment-business-owner-sentenced-to-federal-prison-and-ordered-to-pay-over-6-million-in-restitution-for-a-conspiracy-to-commit-health-care-fraud/
627,627,Owner of Durable Medical Equipment Companies Agrees to Plead Guilty in Nearly $30 Million Fraud Scheme,2025-05-23,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/owner-of-durable-medical-equipment-companies-agrees-to-plead-guilty-in-nearly-30-million-fraud-scheme/
628,628,Three People Sentenced To Prison For Scheme To Bill Medicare For Millions Of Dollars In Unnecessary Medical Equipment,2025-05-23,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/three-people-sentenced-to-prison-for-scheme-to-bill-medicare-for-millions-of-dollars-in-unnecessary-medical-equipment/
629,629,Former Senior Partner at McKinsey & Company Sentenced,2025-05-23,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/former-senior-partner-at-mckinsey-company-sentenced/
630,630,Two St. Louis Area Doctors Admit Health Crimes,2025-05-22,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/two-st-louis-area-doctors-admit-health-crimes/
631,631,Irondequoit Man Claiming To Be A Physician Charged With Fraud And Illegally Dispensing Controlled Substances,2025-05-22,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/irondequoit-man-claiming-to-be-a-physician-charged-with-fraud-and-illegally-dispensing-controlled-substances/
632,632,Two Charged in $227M Medicare Fraud Scheme,2025-05-22,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/two-charged-in-227m-medicare-fraud-scheme/
634,634,"Agendia, Inc., Knoxville Comprehensive Breast Center, PLLC, And Knoxville Dermatopathology Laboratory, LLC Agree To Settle False Claims Act Allegations For More Than $3,750,000",2025-05-21,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/agendia-inc-knoxville-comprehensive-breast-center-pllc-and-knoxville-dermatopathology-laboratory-llc-agree-to-settle-false-claims-act-allegations-for-more-than-3750000/
635,635,Jury Convicts Home Health Agency Owner In Medicare Fraud And Identity Theft Scheme,2025-05-21,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/jury-convicts-home-health-agency-owner-in-medicare-fraud-and-identity-theft-scheme/
636,636,Texas Doctor Who Falsely Diagnosed Patients Sentenced to 10 Years’ Imprisonment in Connection with $118M in Fraudulent Health Care Claims,2025-05-21,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/texas-doctor-who-falsely-diagnosed-patients-sentenced-to-10-years-imprisonment-in-connection-with-118m-in-fraudulent-health-care-claims/
638,638,"13 Members and Associates of Rival Armenian Syndicates Arrested on Federal Complaints Alleging Attempted Murder, Kidnapping, Theft",2025-05-20,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/13-members-and-associates-of-rival-armenian-syndicates-arrested-on-federal-complaints-alleging-attempted-murder-kidnapping-theft/
639,639,Director of Mobile Medical Diagnostics Company Agrees to Plead Guilty to Kickback Scheme,2025-05-20,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/director-of-mobile-medical-diagnostics-company-agrees-to-plead-guilty-to-kickback-scheme/
640,640,Business Owner Pleads Guilty to Fraud and Money Laundering Schemes,2025-05-20,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/business-owner-pleads-guilty-to-fraud-and-money-laundering-schemes/
641,641,Pittsburgh-Area Nursing Home Companies Ordered to Pay More Than $15 Million in Restitution for Health Care Fraud,2025-05-20,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/pittsburgh-area-nursing-home-companies-ordered-to-pay-more-than-15-million-in-restitution-for-health-care-fraud/
642,642,"Florida Ophthalmology Practice Agrees to Pay $615,000 to Resolve Allegations of Fraudulent Claims to Medicare and Medicaid for Cranial Ultrasounds",2025-05-20,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/florida-ophthalmology-practice-agrees-to-pay-615000-to-resolve-allegations-of-fraudulent-claims-to-medicare-and-medicaid-for-cranial-ultrasounds-1/
643,643,Foreign National Sentenced for $3.2 Million Medicare Fraud Scheme,2025-05-20,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/foreign-national-sentenced-for-32-million-medicare-fraud-scheme/
645,645,CEO of Spine Device Company Pleads Guilty to False Statements in Connection with Mandatory Reporting to CMS,2025-05-19,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/ceo-of-spine-device-company-pleads-guilty-to-false-statements-in-connection-with-mandatory-reporting-to-cms/
649,649,"Connecticut Physiatrist and Practice Pay $427k to Settle False Claims, Improper Billing Allegations",2025-05-16,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/connecticut-physiatrist-and-practice-pay-427k-to-settle-false-claims-improper-billing-allegations/
650,650,Middletown Man Admits Role in Scheme that Defrauded Connecticut’s Medicaid Program of More Than $1.8 Million,2025-05-16,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/middletown-man-admits-role-in-scheme-that-defrauded-connecticuts-medicaid-program-of-more-than-18-million/
651,651,Florida Pharmacy Pleads Guilty to Health Care Fraud and Agrees to Pay More Than $1 Million Settlement,2025-05-16,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/florida-pharmacy-pleads-guilty-to-health-care-fraud-and-agrees-to-pay-more-than-1-million-settlement-1/
652,652,"Florida Ophthalmology Practice Agrees To Pay $615,000 To Resolve Allegations Of Fraudulent Claims To Medicare And Medicaid For Cranial Ultrasounds",2025-05-16,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/florida-ophthalmology-practice-agrees-to-pay-615000-to-resolve-allegations-of-fraudulent-claims-to-medicare-and-medicaid-for-cranial-ultrasounds/
653,653,Catholic Health Agrees To Pay Nearly $3.3 Million To Resolve Alleged False Claims Act Violations,2025-05-16,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/catholic-health-agrees-to-pay-nearly-33-million-to-resolve-alleged-false-claims-act-violations/
655,655,Fresno-Based Community Health System Agree to Pay $31.5 Million to Resolve Allegations of False Claims Act Violations,2025-05-14,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/fresno-based-community-health-system-agree-to-pay-315-million-to-resolve-allegations-of-false-claims-act-violations/
656,656,Oakton Doctor Sentenced To 13 Years In Prison For Running Urgent Care Center As Opioid Pill Mill,2025-05-14,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/oakton-doctor-sentenced-to-13-years-in-prison-for-running-urgent-care-center-as-opioid-pill-mill/
657,657,New Hampshire Doctor Pleads Guilty to Illegally Prescribing Opioids,2025-05-13,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/new-hampshire-doctor-pleads-guilty-to-illegally-prescribing-opioids/
667,667,Norwalk Dentists Pay More Than $600K To Settle False Claims Allegations,2025-05-09,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/norwalk-dentists-pay-more-than-600k-to-settle-false-claims-allegations/
668,668,New Jersey Woman Sentenced To Prison For Forced Labor And Other Federal Crimes,2025-05-09,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/new-jersey-woman-sentenced-to-prison-for-forced-labor-and-other-federal-crimes/
669,669,Pharmaceutical Manufacturer Assertio Therapeutics Inc. Agrees To Pay $3.6M To Resolve Allegations That It Violated The False Claims Act In Connection With Marketing Its Fentanyl Product,2025-05-09,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/pharmaceutical-manufacturer-assertio-therapeutics-inc-agrees-to-pay-36m-to-resolve-allegations-that-it-violated-the-false-claims-act-in-connection-with-marketing-its-fentanyl-product/
670,670,Second Leader Of Notorious Philadelphia ‘10th And O Crew’ Sentenced To Over Four Years For Opioid Drug Conspiracy,2025-05-09,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/second-leader-of-notorious-philadelphia-10th-and-o-crew-sentenced-to-over-four-years-for-opioid-drug-conspiracy/
675,675,Dominican National Sentenced For Passport Fraud And Stealing U.S. Citizen's Identity,2025-05-08,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/dominican-national-sentenced-for-passport-fraud-and-stealing-us-citizens-identity/
676,676,Four Sentenced In $110 Million-Dollar Kickback Conspiracy,2025-05-08,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/four-sentenced-in-110-million-dollar-kickback-conspiracy/
683,683,Leader Of $48 Million Healthcare Fraud Scheme Sentenced To 14 Months In Prison,2025-05-06,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/leader-of-48-million-healthcare-fraud-scheme-sentenced-to-14-months-in-prison/
684,684,California Man Sentenced to 12 Years’ Imprisonment in Connection with $17M Medicare Fraud Schemes,2025-05-06,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/california-man-sentenced-to-12-years-imprisonment-in-connection-with-17m-medicare-fraud-schemes/
688,688,Charlotte Clinic Owner Agrees To Settle Allegations Of Medicaid Fraud,2025-05-05,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/charlotte-clinic-owner-agrees-to-settle-allegations-of-medicaid-fraud/
691,691,Nurse Practitioner from Opelousas Convicted of Medicare Fraud by Federal Jury,2025-05-02,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/nurse-practitioner-from-opelousas-convicted-of-medicare-fraud-by-federal-jury/
692,692,Louisiana Nurse Practitioner Convicted of $2M Medicare Fraud,2025-05-02,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/louisiana-nurse-practitioner-convicted-of-2m-medicare-fraud/
696,696,The United States Files False Claims Act Complaint Against Three National Health Insurance Companies and Three Brokers Alleging Unlawful Kickbacks and Discrimination Against Disabled Americans,2025-05-01,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/the-united-states-files-false-claims-act-complaint-against-three-national-health-insurance-companies-and-three-brokers-alleging-unlawful-kickbacks-and-discrimination-against-disabled-americans/
700,700,Wethersfield Woman Admits Role in Scheme that Defrauded Connecticut’s Medicaid Program of More Than $1.8 Million,2025-04-30,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/wethersfield-woman-admits-role-in-scheme-that-defrauded-connecticuts-medicaid-program-of-more-than-18-million/
701,701,Cumberland County Drug and Alcohol Rehabilitation Center Agrees to Pay $19.75 Million to Resolve False Claims Act Allegations,2025-04-30,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/cumberland-county-drug-and-alcohol-rehabilitation-center-agrees-to-pay-1975-million-to-resolve-false-claims-act-allegations/
702,702,"Philadelphia Man Pleads Guilty To Defrauding The Government Of More Than $1 Million In SNAP, Medicaid Benefits",2025-04-29,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/philadelphia-man-pleads-guilty-to-defrauding-the-government-of-more-than-1-million-in-snap-medicaid-benefits/
703,703,Jury Convicts Florida Man For Stealing $10.9 Million From Medicare,2025-04-29,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/jury-convicts-florida-man-for-stealing-109-million-from-medicare/
704,704,U.S. Attorney Announces $202 Million Settlement With Gilead Sciences For Using Speaker Programs To Pay Kickbacks To Doctors To Induce Them To Prescribe Gilead’s Drugs,2025-04-29,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/us-attorney-announces-202-million-settlement-with-gilead-sciences-for-using-speaker-programs-to-pay-kickbacks-to-doctors-to-induce-them-to-prescribe-gileads-drugs/
705,705,Harlingen Couple Guilty In Multimillion-Dollar Medicare Fraud Scheme,2025-04-29,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/harlingen-couple-guilty-in-multimillion-dollar-medicare-fraud-scheme/
706,706,"Southfield Doctor Convicted Of Illegally Prescribing More Than 200,000 Opioid Pills",2025-04-28,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/southfield-doctor-convicted-of-illegally-prescribing-more-than-200000-opioid-pills/
710,710,Massachusetts Doctor Agrees To Plead Guilty To $35.5 Million Medicare Fraud Scheme,2025-04-25,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/massachusetts-doctor-agrees-to-plead-guilty-to-355-million-medicare-fraud-scheme/
711,711,Two Former Laboratory Sales Executives Sentenced To Federal Prison For Roles In Health Care Kickback Conspiracy,2025-04-25,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/two-former-laboratory-sales-executives-sentenced-to-federal-prison-for-roles-in-health-care-kickback-conspiracy/
712,712,"Former Owner Of York Pain Management Practice Sentenced To 42 Months For Health Care Fraud, Money Laundering, And Theft Of Public Money",2025-04-24,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/former-owner-of-york-pain-management-practice-sentenced-to-42-months-for-health-care-fraud-money-laundering-and-theft-of-public-money/
717,717,"Genetic Testing Marketing Companies Genexe, LLC and Immerge, Inc. and Two Executives Agree to Pay $6 Million to Resolve Allegations of Fraudulent Medicare Claims",2025-04-23,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/genetic-testing-marketing-companies-genexe-llc-and-immerge-inc-and-two-executives-agree-to-pay-6-million-to-resolve-allegations-of-fraudulent-medicare-claims/
722,722,A Leader of Notorious Philadelphia ‘10th and O Crew’ Sentenced to Six Years for Opioid Drug Conspiracy,2025-04-22,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/a-leader-of-notorious-philadelphia-10th-and-o-crew-sentenced-to-six-years-for-opioid-drug-conspiracy/
724,724,Operators of New Jersey Company Sentenced to Prison and Enter into Related Civil Settlement Agreement for Roles in $127 Million Health Care Fraud and Kickback Scheme,2025-04-21,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/operators-of-new-jersey-company-sentenced-to-prison-and-enter-into-related-civil-settlement-agreement-for-roles-in-127-million-health-care-fraud-and-kickback-scheme/
725,725,Owner of Pharmaceutical Company Pleads Guilty to Unlawful Distribution of $60 Million in Diverted HIV Drugs,2025-04-21,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/owner-of-pharmaceutical-company-pleads-guilty-to-unlawful-distribution-of-60-million-in-diverted-hiv-drugs/
726,726,Walgreens Agrees to Pay Up to $350M for Illegally Filling Unlawful Opioid Prescriptions and for Submitting False Claims to the Federal Government,2025-04-21,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/walgreens-agrees-to-pay-up-to-350m-for-illegally-filling-unlawful-opioid-prescriptions-and-for-submitting-false-claims-to-the-federal-government/
727,727,Executive Vice President Of Insurance Brokerage Pleads Guilty In $133M Affordable Care Act Fraud Scheme,2025-04-18,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/executive-vice-president-of-insurance-brokerage-pleads-guilty-in-133m-affordable-care-act-fraud-scheme/
729,729,Former Owner Of Collapsed Nursing Home Empire Sentenced To 36 Months’ Imprisonment For $38 Million Tax Fraud Scheme,2025-04-17,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/former-owner-of-collapsed-nursing-home-empire-sentenced-to-36-months-imprisonment-for-38-million-tax-fraud-scheme/
730,730,New England Doctor Sentenced For Drug Conspiracy,2025-04-17,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/new-england-doctor-sentenced-for-drug-conspiracy/
731,731,Florida Doctor Found Guilty Of Unlawfully Dispensing And Distributing Opioids,2025-04-17,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/florida-doctor-found-guilty-of-unlawfully-dispensing-and-distributing-opioids/
732,732,Pharmacist Indicted In $2 Million Health Care Fraud Scheme,2025-04-17,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/pharmacist-indicted-in-2-million-health-care-fraud-scheme/
736,736,Federal Jury Convicts Would-Be Smuggler Of Three-Year-Old Child,2025-04-16,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/federal-jury-convicts-would-be-smuggler-of-three-year-old-child/
737,737,Physician Convicted At Trial For Illegal Distribution Of Opioids And Health Care Fraud Conspiracies,2025-04-16,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/physician-convicted-at-trial-for-illegal-distribution-of-opioids-and-health-care-fraud-conspiracies/
740,740,Florida Woman Pleads Guilty To Conspiring To Defraud Medicare Of $3.3 Million,2025-04-15,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/florida-woman-pleads-guilty-to-conspiring-to-defraud-medicare-of-33-million/
741,741,Ashland City Doctor Sentenced To 3 Years For Conspiracy To Commit Health Care Fraud,2025-04-14,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/ashland-city-doctor-sentenced-to-3-years-for-conspiracy-to-commit-health-care-fraud/
742,742,North Ridgeville Doctor Pleads Guilty To Health Care Fraud Conspiracy,2025-04-11,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/north-ridgeville-doctor-pleads-guilty-to-health-care-fraud-conspiracy/
744,744,Florida Pharmacy Pleads Guilty To Health Care Fraud And Agrees To Pay More Than $1 Million Settlement,2025-04-10,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/florida-pharmacy-pleads-guilty-to-health-care-fraud-and-agrees-to-pay-more-than-1-million-settlement/
745,745,Minnesota Couple Indicted In $15 Million Medical Billing Fraud Scheme,2025-04-10,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/minnesota-couple-indicted-in-15-million-medical-billing-fraud-scheme/
746,746,Attorney General Jeff Jackson Announces Health Care Fraud And Money Laundering Guilty Plea,2025-04-09,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/attorney-general-jeff-jackson-announces-health-care-fraud-and-money-laundering-guilty-plea/
747,747,Greensboro Woman Pleads Guilty To Health Care Fraud And Money Laundering In Connection With Multi-Million Dollar Urine Drug Testing Scheme,2025-04-09,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/greensboro-woman-pleads-guilty-to-health-care-fraud-and-money-laundering-in-connection-with-multi-million-dollar-urine-drug-testing-scheme/
748,748,Home Health Care Companies Owner Sentenced To More Than 3 Years In Prison For $5.7 Million Medicaid Fraud,2025-04-08,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/home-health-care-companies-owner-sentenced-to-more-than-3-years-in-prison-for-57-million-medicaid-fraud/
749,749,Pain Management Clinic Owners And Operators Indicted On Health Care Fraud Charges,2025-04-07,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/pain-management-clinic-owners-and-operators-indicted-on-health-care-fraud-charges/
751,751,Former Traveling Nurse Sentenced To Prison For Tampering With Morphine,2025-04-04,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/former-traveling-nurse-sentenced-to-prison-for-tampering-with-morphine/
752,752,Kansas Doctor Admits Accepting Kickbacks To Commit Health Care Fraud,2025-04-04,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/kansas-doctor-admits-accepting-kickbacks-to-commit-health-care-fraud/
753,753,United States Files False Claims Act Complaint Against Vohra Wound Physicians Management And Its Owner Alleging False Claims For Wound Care Services,2025-04-04,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/united-states-files-false-claims-act-complaint-against-vohra-wound-physicians-management-and-its-owner-alleging-false-claims-for-wound-care-services/
756,756,Nurse Anesthetist Sentenced To Federal Prison For Fentanyl Diversion At Dubuque Hospital,2025-04-03,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/nurse-anesthetist-sentenced-to-federal-prison-for-fentanyl-diversion-at-dubuque-hospital/
760,760,National Sales Director For New York-Based Mobile Diagnostic Company Pleads Guilty To Kickback Scheme,2025-04-02,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/national-sales-director-for-new-york-based-mobile-diagnostic-company-pleads-guilty-to-kickback-scheme/
761,761,Lancaster County Trio Pleads Guilty To Conspiracy To Commit Health Care Fraud,2025-04-02,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/lancaster-county-trio-pleads-guilty-to-conspiracy-to-commit-health-care-fraud/
762,762,"Beckley Medical Clinic And Physician Agree To Pay $152,382.70 To Resolve False Claims Act Allegations",2025-04-02,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/beckley-medical-clinic-and-physician-agree-to-pay-15238270-to-resolve-false-claims-act-allegations/
763,763,Florida Man Pleads Guilty To Multi-Million Dollar Scheme To Defraud Medicare,2025-04-02,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/florida-man-pleads-guilty-to-multi-million-dollar-scheme-to-defraud-medicare/
764,764,Louisiana Chiropractor Convicted Of Health Care Fraud And Unemployment Insurance Fraud,2025-04-02,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/louisiana-chiropractor-convicted-of-health-care-fraud-and-unemployment-insurance-fraud/
766,766,"Diopsys, Inc. Agrees To Pay Up To $14.25 Million To Resolve Alleged Federal False Claims Act And State Law Violations Relating To Vision Testing",2025-03-28,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/diopsys-inc-agrees-to-pay-up-to-1425-million-to-resolve-alleged-federal-false-claims-act-and-state-law-violations-relating-to-vision-testing/
770,770,[Dominican] National Pleads Guilty To Passport Fraud And Other Offenses,2025-03-27,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/dominican-national-pleads-guilty-to-passport-fraud-and-other-offenses/
771,771,Walgreen Co. Agrees To Pay Over $2.8 Million To Settle Allegations Of Overbilling Medicaid Programs,2025-03-27,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/walgreen-co-agrees-to-pay-over-28-million-to-settle-allegations-of-overbilling-medicaid-programs/
772,772,Leader Of $23 Million Health Care Fraud Scheme Pleads Guilty,2025-03-27,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/leader-of-23-million-health-care-fraud-scheme-pleads-guilty/
774,774,Koreatown-Based Medicare Advantage Provider Seoul Medical Group And Related Parties To Pay More Than $62 Million To Settle False Claims Lawsuit,2025-03-26,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/koreatown-based-medicare-advantage-provider-seoul-medical-group-and-related-parties-to-pay-more-than-62-million-to-settle-false-claims-lawsuit/
775,775,Behavioral Health Care Company Executive Sentenced For Health Care Fraud,2025-03-26,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/behavioral-health-care-company-executive-sentenced-for-health-care-fraud/
776,776,Brooksville Man Sentenced To Prison For Electronic Prescribing Fraud Scheme,2025-03-26,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/brooksville-man-sentenced-to-prison-for-electronic-prescribing-fraud-scheme/
777,777,"Convicted Nurse Practitioner To Forfeit Over $40 Million From Foreign Accounts For Health Care Fraud, Money Laundering",2025-03-26,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/convicted-nurse-practitioner-to-forfeit-over-40-million-from-foreign-accounts-for-health-care-fraud-money-laundering-1/
778,778,Acting U.S. Attorney Announces $5 Million False Claims Act Settlement With Providers Of Programs For Adults With Developmental Disabilities,2025-03-26,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/acting-us-attorney-announces-5-million-false-claims-act-settlement-with-providers-of-programs-for-adults-with-developmental-disabilities/
779,779,"Medical Device Manufacturer And Its Owner Agree To Pay $550,000 To Resolve False Claims Act Allegations",2025-03-26,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/medical-device-manufacturer-and-its-owner-agree-to-pay-550000-to-resolve-false-claims-act-allegations/
780,780,Medicare Advantage Provider Seoul Medical Group And Related Parties To Pay Over $62M To Settle False Claims Act Suit,2025-03-26,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/medicare-advantage-provider-seoul-medical-group-and-related-parties-to-pay-over-62m-to-settle-false-claims-act-suit/
784,784,River Hills Man Sentenced To 21 Months’ Imprisonment For Paying Healthcare Kickbacks,2025-03-24,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/river-hills-man-sentenced-to-21-months-imprisonment-for-paying-healthcare-kickbacks/
785,785,Cuban National Sentenced To Over Five Years In $7.6 Million Medicare Fraud Scheme,2025-03-24,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/cuban-national-sentenced-to-over-five-years-in-76-million-medicare-fraud-scheme/
787,787,Jury Finds Physician Guilty Of Operating A Pill Mill From His D.C. Medical Practice,2025-03-21,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/jury-finds-physician-guilty-of-operating-a-pill-mill-from-his-dc-medical-practice/
788,788,Three Convicted For Fraudulently Billing Over $8 Million To Medicare And Medicaid Through Opioid Addiction Treatment Clinics In Kentucky,2025-03-21,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/three-convicted-for-fraudulently-billing-over-8-million-to-medicare-and-medicaid-through-opioid-addiction-treatment-clinics-in-kentucky/
791,791,New Jersey Pain Clinic Admits Health Care Fraud And Agrees To Criminal And Civil Penalties,2025-03-20,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/new-jersey-pain-clinic-admits-health-care-fraud-and-agrees-to-criminal-and-civil-penalties/
792,792,"Two California Doctors Agree To Settlements Totaling $375,000 To Resolve Allegations Of Fraud Schemes Related To “Electroacupuncture” Devices",2025-03-20,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/two-california-doctors-agree-to-settlements-totaling-375000-to-resolve-allegations-of-fraud-schemes-related-to-electroacupuncture-devices/
